lng,lat,ID,MLS,Address,City,ST,ZIP,Subdivision,Pool,Lot,Price
-95.76423217,30.21568823,'4,36442066,503 Broken Boulder Street,Magnolia,TX,77354,Mustang Ridge,No,,299995
-95.75658955,30.21468743,'3,19038927,213 Harlingen Drive,Magnolia,TX,77354,Windmill Estates,No,5850,299990
-95.57710451,30.17297632,'1,57683319,131 Fennel Road,Magnolia,TX,77354,Lakes at Black Oak,No,,301990
-95.7287929,30.21035194,'2,7557093,785 Autumn Cherry Trail,Magnolia,TX,77354,Magnolia Ridge,No,,289990
-95.72457488,30.21062581,'5,53595837,220 Ashley Branch Street,Magnolia,TX,77354,Magnolia Ridge,No,,333990
-95.72295323,30.21110467,'7,17454583,261 Ashley Branch Street,Magnolia,TX,77354,Magnolia Ridge,No,,356990
-95.73751327,30.20903585,'8,61816793,111 Cobblestone Court,Magnolia,TX,77354,Magnolia Ridge,No,13179,375000
-95.75068685,30.223048,'11,91166445,638 Running Iron Lane,Magnolia,TX,77354,Timber Hollow,No,,584203
-95.76005589,30.20655984,'10,55528232,19206 Fm 1488 Road,Magnolia,TX,77354,N/A,No,88305,650000
-95.73660349,30.20847016,'9,81795536,191 Country Crossing Circle,Magnolia,TX,77354,Magnolia Ridge 04,Yes,7084,382500
